0,0
0.0,0.0
0.0,0.0
0.0,0.0
1.09246706344,1.52720270878
3.46648202824,4.84593167208
5.84049699303,8.16466063538
8.21191446653,11.5074077783
10.572885167,14.8354291629
12.9574046228,18.1688427676
15.3314195876,21.4875717309
17.7054345524,24.8063006942
17.8104794623,24.9531471085
17.7934669265,24.947100899
17.8107656946,24.9419302466
17.8107656946,24.9419302466
19.3198912575,23.8552408026
22.6364024552,21.4472680514
25.9383034714,19.0499031096
29.2349369825,16.6760669455
32.5755256071,14.2705796325
35.8868108226,11.8861930854
39.1980960382,9.50180653826
42.5146072359,7.09383378703
45.840544156,4.69889685697
49.1518293716,2.31451030986
52.4631145871,-0.0698762372434
55.7796257849,-2.47784898847
59.0815268011,-4.87521393022
62.4074637211,-7.27015086028
65.7187489367,-9.65453740738
67.5158012597,-10.959297973
67.5328607336,-10.9652104492
67.5328607336,-10.9652104492
67.5328607336,-10.9652104492
67.5223562426,-10.9798950906
69.789305986,-7.78440553109
72.1502766865,-4.45638414649
74.5347961423,-1.12297054176
76.9088111071,2.19575842154
79.2828260719,5.51448738484
81.6568410367,8.83321634814
84.0282585102,12.1759634911
85.3203109025,13.982174387
85.3203109025,13.982174387
85.3143848433,13.9651196268
85.3090923007,13.9823814928
85.3090923007,13.9823814928
84.0784205467,17.6829910437
82.7907732486,21.5549251109
81.4821738115,25.4388853074
80.1793391296,29.3057355472
78.8859942771,33.194802066
77.5889243504,37.0445423489
76.2745601581,40.9456125023
74.9717254763,44.812462742
74.9090523777,45.0009197099
74.9090523777,45.0009197099
74.9090523777,45.0009197099
74.9090523777,45.0009197099
74.9090523777,45.0009197099
78.8267157688,45.0470523285
82.906862895,45.0950982814
86.9870100211,45.1431442344
91.0853687423,45.1753170112
95.1656730198,45.2073480577
99.2638738944,45.2556066034
103.344021021,45.3036525564
107.442379742,45.3358253332
111.522684019,45.3678563797
115.584777397,45.41568974
119.70103202,45.4641608784
123.781179146,45.5122068313
127.879537867,45.5443796082
131.959842145,45.5764106547
136.040146422,45.6084417012
138.278897442,45.6260162577
138.278897442,45.6260162577
